Año,Concepto,Presupuesto,Liquidación
2014,Personal funcionario,1180735.69,1056730.50
2014,Personal laboral,2196471.27,2380363.54
2014,Incentivos al rendimiento,126207.20,19987.46
2014,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1112213.51,1130780.89
2014,Arrendamientos y cánones,15000.00,29643.43
2014,"Reparaciones, mantenimientos y conservación",209700.00,196361.77
2014,"Material, suministros y otros",3127470.00,3151637.41
2014,Indemnizaciones por razón de servicio,44500.00,41935.57
2014,Gastos de edición y distribución,0.00,0.00
2014,Trasbajos realizados por AAPP. Y EEPP,0.00,0.00
2014,Trabajos realizados por instituciones sin fines de lucro,99000.00,96996.00
2014,De préstamos y otras operaciones financieras,92100.00,73471.88
2014,Intereses de demora y otros gastos financieros,10000.00,17735.87
2014,A la Administración del Estado,40000.00,17769.48
2014,A entidades locales,724660.00,797002.80
2014,A empresas privadas,50000.00,19800.00
2014,A familias e instituciones sin ánimo de lucro,303692.00,287303.58
2014,Al exterior,3000.00,0.00
2014,Fondo de contingencia,0.00,0.00
2014,Inversión nueva en bienes e infraestructuras de interés general,100000.00,205044.60
2014,Inversiones en reposición de infra. destinados al uso general,170000.00,71212.89
2014,Inversión nueva asociada al funcio. operativo de los servicios,89652.00,50132.15
2014,Inversión de reposición asoc al funcio operativo de los servicios,84000.00,138957.13
2014,Gastos e inversiones de carácter inmaterial,3500.00,40043.14
2014,Gastos e inversiones de bienes patrimoniales,0.00,19529.88
2014,A la Administración del Estado,0.00,25084.77
2014,A la Administración general de la CCAA,0.00,0.00
2014,Vehículos,0.00,0.00
2014,Concesión de préstamos fuera del sector primario,16000.00,13849.72
2014,Adquisición de acciones y participaciones fuera del sector público,0.00,0.00
2014,Amortización de ope. Y prestamos en curso,298900.00,755508.66
2013,Órganos de gobierno personal directivo,94556.56,94556.56
2013,Personal funcionario,1175493.96,1023959.98
2013,Personal laboral,2110897.20,2259295.90
2013,Incentivos al rendimiento,126207.20,24378.22
2013,"Cuotas, prestaciones y gastos sociales a cargo del empleador",1080355.15,1085556.19
2013,Arrendamientos y cánones,20800.00,17093.69
2013,"Reparaciones, mantenimientos y conservación",224100.00,224969.59
2013,"Material, suministros y otros",3380178.00,3354351.76
2013,Indemnizaciones por razón de servicio,43300.00,38599.64
2013,Gastos de edición y distribución,0.00,0.00
2013,Trasbajos realizados por AAPP. Y EEPP,0.00,0.00
2013,Trabajos realizados por instituciones sin fines de lucro,98000.00,94916.40
2013,De préstamos y otras operaciones financieras,196050.00,92995.71
2013,Intereses de demora y otros gastos financieros,30000.00,18348.82
2013,A la Administración del Estado,40000.00,84678.96
2013,A entidades locales,792820.00,753664.91
2013,A empresas privadas,8000.00,0.00
2013,A familias e instituciones sin ánimo de lucro,286542.00,249818.47
2013,Al exterior,3000.00,0.00
2013,Fondo de contingencia,0.00,0.00
2013,Inversión nueva en bienes e infraestructuras de interés general,36890.00,39251.20
